username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kyookine;2016-10-25 23:52;0;0;"General Electric's (GE) CEO Jeffrey Immelt on Q3 2016 Results - Earnings Call Transcript http:// seekingalpha.com/article/401389 8-general-electrics-ge-ceo-jeffrey-immelt-q3-2016-results-earnings-call-transcript?source=tweet … $ GE";;;;"791064950466760704";https://twitter.com/kyookine/status/791064950466760704
DenverTrend;2016-10-25 23:10;0;0;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ tgt $ esrx $ lly $ lvs $ wfc #AppleEarnings";;;#trilliondollar #megabrand #AppleEarnings;"791054312692744193";https://twitter.com/DenverTrend/status/791054312692744193
business_supser;2016-10-25 23:08;0;0;"#GE #Venture to Build World's Largest LPG Power Plant in Ghana. Read more: http:// owler.us/abLlxr $ GE";;;#GE #Venture;"791053744834097152";https://twitter.com/business_supser/status/791053744834097152
JenniferPahlavi;2016-10-25 23:01;0;0;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ tgt $ esrx $ lly $ lvs $ wfc #AppleEarnings";;;#trilliondollar #megabrand #AppleEarnings;"791052098112749568";https://twitter.com/JenniferPahlavi/status/791052098112749568
business_supser;2016-10-25 23:01;0;0;"#GE #Posts Mixed Q3 Results: Industrial ETFs in Focus. Read more: http:// owler.us/abLlsu $ GE";;;#GE #Posts;"791052021319086080";https://twitter.com/business_supser/status/791052021319086080
CharlesNance415;2016-10-25 22:55;0;1;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ tgt $ esrx $ lly $ lvs $ wfc #AppleEarnings pic.twitter.com/godZJR830P";;;#trilliondollar #megabrand #AppleEarnings;"791050507066413056";https://twitter.com/CharlesNance415/status/791050507066413056
AmyDaniel212;2016-10-25 22:50;0;0;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ tgt $ esrx $ lly $ lvs $ wfc #AppleEarnings pic.twitter.com/XEfqv1UvYg";;;#trilliondollar #megabrand #AppleEarnings;"791049268618465282";https://twitter.com/AmyDaniel212/status/791049268618465282
CMLviz;2016-10-25 22:35;0;0;"@OphirGottlieb $ ge #Revenue Chart http:// cmlviz.com/cmld3b/lite.ph p?app=mm&tickers=ge&metrics=Revenue%20(TTM%20US%24%20Millions)%7CNet%20Income%20(TTM%20US%24%20Millions)&session_token=&color_scheme=dark_on_light&start_date=01-Jan-2000&end_date=01-Jan-2020&world_region=NA&show_line=false&graph_only=0 … pic.twitter.com/LyHSF8E8oo";;@OphirGottlieb;#Revenue;"791045667116322817";https://twitter.com/CMLviz/status/791045667116322817
OphirGottlieb;2016-10-25 22:35;0;0;"@CMLviz #revenue $ ge";;@CMLviz;#revenue;"791045438883311616";https://twitter.com/OphirGottlieb/status/791045438883311616
CMLviz;2016-10-25 22:28;0;0;"@RajeshS94121116 $ ge #Revenue Chart http:// cmlviz.com/cmld3b/lite.ph p?app=mm&tickers=ge&metrics=Revenue%20(TTM%20US%24%20Millions)%7CNet%20Income%20(TTM%20US%24%20Millions)&session_token=&color_scheme=dark_on_light&start_date=01-Jan-2000&end_date=01-Jan-2020&world_region=NA&show_line=false&graph_only=0 … pic.twitter.com/dONTb6sJM2";;@RajeshS94121116;#Revenue;"791043776751947780";https://twitter.com/CMLviz/status/791043776751947780
RajeshS94121116;2016-10-25 22:28;0;0;"@cmlviz #revenue $ ge";;@cmlviz;#revenue;"791043709555109892";https://twitter.com/RajeshS94121116/status/791043709555109892
RajeshS94121116;2016-10-25 22:27;0;0;"@Calvin #revenue $ ge";;@Calvin;#revenue;"791043472241418242";https://twitter.com/RajeshS94121116/status/791043472241418242
bulltrader22;2016-10-25 22:26;0;0;"This is what #corpamerica wants? she will put a strap on to all of you eventually $ AAPL $ GE $ C $ GS #worldseries when do 2M meet in NY State?";;;#corpamerica #worldseries;"791043276388364288";https://twitter.com/bulltrader22/status/791043276388364288
NewsToDesk;2016-10-25 22:22;1;0;"$ AAPL $ PG $ UTX $ GE $ UA : Cramer bites into Apple: Wall Street still ignoring the most important …: http://www. StockNewsWires.com/2016/10/25/aap l-pg-utx-ge-ua-cramer-bites-into-apple-wall-street-still-ignoring-the-most-important/ …";;;;"791042169175932933";https://twitter.com/NewsToDesk/status/791042169175932933
SeekingAlpha;2016-10-25 22:12;0;0;"General Electric Company 2016 Q3 - Results - Earnings Call Slides http:// seekingalpha.com/article/401483 2-general-electric-company-2016-q3-results-earnings-call-slides?source=feed_f … $ GE";;;;"791039667730837508";https://twitter.com/SeekingAlpha/status/791039667730837508
business_supser;2016-10-25 22:08;0;0;"#GE Ni#rian lawmakers to probe possible railway concession for GE. Read more: http:// owler.us/abLkZw $ GE";;;#GE #rian;"791038806132596736";https://twitter.com/business_supser/status/791038806132596736
Greg5thTrad;2016-10-25 21:51;0;0;"Money Flows: Buying on Weakness: Among stocks that were down today, these had the largest Net INFLOWS of money $ AMZN $ QQQ $ XLE $ IWM $ GE top5";;;;"791034397684146176";https://twitter.com/Greg5thTrad/status/791034397684146176
PortfolioBuzz;2016-10-25 21:49;0;0;"Hey, do you know everything while trading #SP500 ? $ GOOG $ JNJ $ GE http://www. cityfalcon.com/watchlists?nam e=S%26P%20500%20Tracker … pic.twitter.com/JuBZWaJVTW";;;#SP500;"791034096436871168";https://twitter.com/PortfolioBuzz/status/791034096436871168
leemunson;2016-10-25 21:47;2;1;"Own $ T or $ GE solely for their dividends? You ignore the other parts of equation - this happened over 15 years ago. (ht @vitaliyk ) pic.twitter.com/juXRb5k9SM";;@vitaliyk;;"791033409237725184";https://twitter.com/leemunson/status/791033409237725184
StockNewsWires;2016-10-25 21:17;0;0;"$ PEP $ GE $ INTC $ AMZN : Zen and the Art of Surviving India’s Startup Crash: http://www. StockNewsWires.com/2016/10/25/pep -ge-intc-amzn-zen-and-the-art-of-surviving-indias-startup-crash/ …";;;;"791025809872093185";https://twitter.com/StockNewsWires/status/791025809872093185
DollarCollapse;2016-10-25 21:15;0;0;"Economic Thoughts - Late-2016 Edition $ GE $ T $ TWX https:// goo.gl/EQuSMp";;;;"791025375992250368";https://twitter.com/DollarCollapse/status/791025375992250368
TalkMarkets;2016-10-25 21:15;0;0;"Economic Thoughts - Late-2016 Edition $ GE $ T $ TWX https:// goo.gl/EQuSMp";;;;"791025374918500352";https://twitter.com/TalkMarkets/status/791025374918500352
microcapcompany;2016-10-25 21:05;24;1;"Checking out some #stocks on the market close today ....reparing 4 the market to open $ DIA $ GE $ JD $ DIS $ FTNW $ GOOGL $ FB $ GALT $ NKE $ TSLA";;;#stocks;"791022950560456704";https://twitter.com/microcapcompany/status/791022950560456704
MarketNewsAlgo;2016-10-25 21:00;0;0;"GE Venture to Build World’s Largest LPG Power Plant in Ghana http:// industrial.newsmovingmarkets.com/2016/10/ge-ven ture-to-build-worlds-largest-lpg_25.html … $ GE #GeneralElectric";;;#GeneralElectric;"791021740210159618";https://twitter.com/MarketNewsAlgo/status/791021740210159618
Jbreedlove_pdx;2016-10-25 20:53;0;0;"Any ideas on $ GE ? Highest p/e of its peers, yet trading under 50 and 200 daily moving average.";;;;"791019806887510016";https://twitter.com/Jbreedlove_pdx/status/791019806887510016
mapocoloco;2016-10-25 20:49;0;0;"GE-led venture to build world’s largest LPG power plant in Ghana $ GE http://www. seekingalpha.com/news/3216392";;;;"791018993381437442";https://twitter.com/mapocoloco/status/791018993381437442
Trefis;2016-10-25 20:29;0;0;"GE Q3’16 Earnings: Moderate growth expected for 2016 http:// tref.is/2dGtD4s by Trefis Team $ GE";;;;"791013949047136256";https://twitter.com/Trefis/status/791013949047136256
MarketNewsAlgo;2016-10-25 20:20;0;0;"General Electric: Deutsche Bank Has Some Issues With GE’s Earnings http:// industrial.newsmovingmarkets.com/2016/10/genera l-electric-deutsche-bank-has-some.html … $ GE #GeneralElectric";;;#GeneralElectric;"791011571627593728";https://twitter.com/MarketNewsAlgo/status/791011571627593728
oged07;2016-10-25 20:12;0;0;"GE-led venture to build world’s largest LPG power plant in Ghana $ GE http://www. seekingalpha.com/news/3216392";;;;"791009550270857216";https://twitter.com/oged07/status/791009550270857216
finzine;2016-10-25 19:57;0;0;"$ GE General Electric: Deutsche Bank Has Some Issues With GE's Earnings http:// blogs.barrons.com/stockstowatcht oday/2016/10/25/general-electric-deutsche-bank-has-some-issues-with-ges-earnings/ …";;;;"791005906636943360";https://twitter.com/finzine/status/791005906636943360
ibex_matt;2016-10-25 19:51;0;0;"Stopped out of $ GE trade for loss of 0.47/sh. next";;;;"791004295424598017";https://twitter.com/ibex_matt/status/791004295424598017
business_supser;2016-10-25 19:50;0;0;"#GE General Electric's CEO: 'We feel like we can compete in this town'. Read more: http:// owler.us/abLi43 $ GE";;;#GE;"791004122795249664";https://twitter.com/business_supser/status/791004122795249664
business_supser;2016-10-25 19:50;0;0;"#GE General Electric's CEO: 'We feel like we can compete in this town'. Read more: http:// owler.us/abLi5z $ GE";;;#GE;"791003967962525696";https://twitter.com/business_supser/status/791003967962525696
MarketNewsAlgo;2016-10-25 19:37;0;0;"GE Posts Mixed Q3 Results: Industrial ETFs in Focus http:// industrial.newsmovingmarkets.com/2016/10/ge-pos ts-mixed-q3-results-industrial.html … $ GE #GeneralElectric";;;#GeneralElectric;"791000668739895297";https://twitter.com/MarketNewsAlgo/status/791000668739895297
pattie_jabbaz;2016-10-25 19:23;0;2;"estan tratando frenar $SP500 en 2143 baja $ GE";;;;"790997242727587840";https://twitter.com/pattie_jabbaz/status/790997242727587840
VeeDub78;2016-10-25 19:21;0;0;"Damn what's up with the weakness in $ GE . This thing has been terrible for 3 months now";;;;"790996653348102145";https://twitter.com/VeeDub78/status/790996653348102145
DenverTrend;2016-10-25 18:15;0;0;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ msft $ xle $ efa $ jpm $ csco #AppleEarnings";;;#trilliondollar #megabrand #AppleEarnings;"790980143170875396";https://twitter.com/DenverTrend/status/790980143170875396
OptionPicker89;2016-10-25 18:08;0;1;"Looks like further pain ahead for $ GE I can see it drop to $27.60 area.";;;;"790978298000109568";https://twitter.com/OptionPicker89/status/790978298000109568
JenniferPahlavi;2016-10-25 18:05;0;0;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ msft $ xle $ efa $ jpm $ csco #AppleEarnings";;;#trilliondollar #megabrand #AppleEarnings;"790977584167354368";https://twitter.com/JenniferPahlavi/status/790977584167354368
CharlesNance415;2016-10-25 18:01;1;1;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ msft $ xle $ efa $ jpm $ csco #AppleEarnings pic.twitter.com/8SZGoaj4Aa";;;#trilliondollar #megabrand #AppleEarnings;"790976692944773122";https://twitter.com/CharlesNance415/status/790976692944773122
XATSUK;2016-10-25 17:56;0;0;"FREE REPORT How do #equity #investment #HedgeFunds see #stocks $ FB $ GE $ JNJ $ JPM $ MSFT in the coming weeks? http://www. xatsuk.com/publications.h tml … pic.twitter.com/7nuNTpYhGg";;;#equity #investment #HedgeFunds #stocks;"790975220639145989";https://twitter.com/XATSUK/status/790975220639145989
AmyDaniel212;2016-10-25 17:55;1;2;"Will $ gm $ psx $ ge $ f $ cvs become a #trilliondollar #megabrand ? http://www. ironbcg.com/about $ msft $ xle $ efa $ jpm $ csco #AppleEarnings pic.twitter.com/auvD1EQ0wv";;;#trilliondollar #megabrand #AppleEarnings;"790975036832243712";https://twitter.com/AmyDaniel212/status/790975036832243712
StockHunter88;2016-10-25 17:54;0;0;"*'General Electric ( $ GE )' at MAX. OVERSOLD, Last: 28.74, Ask: 28.76, prevStochRSI: 4.55, Trend: ++--- pic.twitter.com/E3iT5lNLb0";;;;"790974824378015744";https://twitter.com/StockHunter88/status/790974824378015744
lilmike_2013;2016-10-25 17:26;0;0;"$ GE is investing a lot into Africa";;;;"790967859983769600";https://twitter.com/lilmike_2013/status/790967859983769600
GEpublicaffairs;2016-10-25 17:04;0;0;"$ GE 's global growth and impact. http:// invent.ge/2ef8PqT";;;;"790962129968861184";https://twitter.com/GEpublicaffairs/status/790962129968861184
intercooleronli;2016-10-25 17:00;0;0;"William Blair Weighs in on General Electric Co.’s FY2016 Earnings $ GE http:// zpr.io/PgHXT";;;;"790961306702675968";https://twitter.com/intercooleronli/status/790961306702675968
SEEKINGALPHA_FS;2016-10-25 16:56;0;0;"GE-led venture to build world’s largest LPG power plant in Ghana http:// seekingalpha.com/news/3216392-g e-led-venture-build-world-s-largest-lpg-power-plant-ghana?source=twitter_sa_factset … $ GE";;;;"790960180183695360";https://twitter.com/SEEKINGALPHA_FS/status/790960180183695360
MarketCurrents;2016-10-25 16:56;0;0;"GE-led venture to build world’s largest LPG power plant in Ghana http:// seekingalpha.com/news/3216392-g e-led-venture-build-world-s-largest-lpg-power-plant-ghana?source=feed_f … $ GE";;;;"790960177440665600";https://twitter.com/MarketCurrents/status/790960177440665600
WatchlistN;2016-10-25 16:56;0;0;"William Blair Weighs in on General Electric Co.’s FY2016 Earnings $ GE http:// zpr.io/PgHau";;;;"790960153185189889";https://twitter.com/WatchlistN/status/790960153185189889
IHPosts;2016-10-25 16:40;0;0;"clayton: GE 28.94 General Electric Company $ GE added to my http:// dlvr.it/MWsrxr";;;;"790956174921244673";https://twitter.com/IHPosts/status/790956174921244673
IHPosts2;2016-10-25 16:40;0;0;"clayton: GE 28.94 General Electric Company $ GE added to my http:// dlvr.it/MWsrqr";;;;"790956166788501504";https://twitter.com/IHPosts2/status/790956166788501504
clayton_dd;2016-10-25 16:35;0;0;"GE 28.94 General Electric Company $ GE added to my watch list. Right now with GE I am watching the last price 2 http:// investorshangout.com/post/view?id=4 138308 …";;;;"790954997827506176";https://twitter.com/clayton_dd/status/790954997827506176
ProfitTradeRoom;2016-10-25 16:31;0;3;"Most active stocks: $ UA $ AMD $ CHK $ FCX $ VALE $ BAC $ F $ S $ KEY $ MSFT $ T $ TWTR $ GM $ AAPL $ PBR $ AKS $ GNW $ X $ SIRI $ MU $ DPRX $ DGAZ $ GE $ AUY $ NLSN";;;;"790953869366988800";https://twitter.com/ProfitTradeRoom/status/790953869366988800
SAlphaAAPL;2016-10-25 16:30;0;0;"Why Stock Markets Crash - And What To Do When It Happens http:// seekingalpha.com/article/401170 4-stock-markets-crash-happens?source=feed_tickers … $ AMZN $ ANTM $ ARZMY $ BAM $ BWLD $ CI $ GE $ GOOG $ GOOGL $ GS";;;;"790953574268145665";https://twitter.com/SAlphaAAPL/status/790953574268145665
StockHunter88;2016-10-25 16:21;0;0;"*'General Electric ( $ GE )' FALL to 28.76, now 8.4 months LOW (-12.6%, 28.76 since 19/7/16). StochRSI: 0.66, Trend: ++--- pic.twitter.com/UyycMANsMT";;;;"790951374817153024";https://twitter.com/StockHunter88/status/790951374817153024
