username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ConsumerFeed;2016-11-28 23:57;0;0;"The Walt Disney Co. $ DIS Shares Bought by Robshaw & Julian Associates Inc. http:// zpr.io/PRwWB";;;;"803387287044259840";https://twitter.com/ConsumerFeed/status/803387287044259840
wlstcom;2016-11-28 23:57;1;1;"What Happened in the Stock Market Today -- The Motley Fool #usmf -consumer-goods $ DIS #wlst http://www. fool.com/investing/2016 /11/28/what-happened-in-the-stock-market-today.aspx … pic.twitter.com/BLRXxReQQh";;;#usmf #wlst;"803387259185692672";https://twitter.com/wlstcom/status/803387259185692672
finzine;2016-11-28 23:56;0;0;"$ DIS What Happened in the Stock Market Today http://www. fool.com/investing/2016 /11/28/what-happened-in-the-stock-market-today.aspx …";;;;"803387194429808641";https://twitter.com/finzine/status/803387194429808641
midetimes;2016-11-28 23:54;0;0;"The Walt Disney Co. $ DIS Shares Bought by Robshaw & Julian Associates Inc. http:// mideasttime.com/?p=1426681";;;;"803386548272168962";https://twitter.com/midetimes/status/803386548272168962
MarketRealist;2016-11-28 23:47;1;1;"How Comcast Plans to Stay Competitive in the Media Industry http://marketrealist.com?p=1775208 marketrealist.com/?p=1775208 $ CMCSA $ DIS $ CHTR $ FOXA";;;;"803384852896772096";https://twitter.com/MarketRealist/status/803384852896772096
StockNewsWires;2016-11-28 23:33;0;0;"$ NUGT $ TIME $ DIS : What Happened in the Stock Market Today: http://www. StockNewsWires.com/2016/11/28/nug t-time-dis-what-happened-in-the-stock-market-today/ …";;;;"803381229919830016";https://twitter.com/StockNewsWires/status/803381229919830016
FinWizApp;2016-11-28 23:21;0;0;"Get latest info on $ TWTR $ DIS $ MSFT $ KITE $ GOOG $ DB $ HIMX $ BAC $ GS $ NFLX $ AMZN $ YELP $ AAPL with Finance Wizard @http:// buff.ly/2fX5pEU";;@http;;"803378186335698944";https://twitter.com/FinWizApp/status/803378186335698944
zerofiltertruth;2016-11-28 23:18;0;1;"Love a/h action $ P which has worked so hard on great new products & remains clear prey 4 $ FB or others needing music $ AAPL $ AMZN $ GOOG $ DIS";;;;"803377629332172800";https://twitter.com/zerofiltertruth/status/803377629332172800
CMLviz;2016-11-28 23:08;0;0;"@FlyTheDamnPlane $ DIS #Revenue Chart --> http:// cmlviz.com/cmld3b/lite.ph p?app=mm&tickers=DIS&metrics=Revenue%20(TTM%20US%24%20Millions)%7CNet%20Income%20(TTM%20US%24%20Millions)&session_token=&color_scheme=dark_on_light&start_date=01-Jan-2000&end_date=01-Jan-2020&world_region=NA&show_line=false&graph_only=0 … pic.twitter.com/a6woKb0aMB";;@FlyTheDamnPlane;#Revenue;"803375156651585538";https://twitter.com/CMLviz/status/803375156651585538
FlyTheDamnPlane;2016-11-28 23:08;0;0;"@CMLviz #revenue $ DIS";;@CMLviz;#revenue;"803374963008880643";https://twitter.com/FlyTheDamnPlane/status/803374963008880643
psiqueland;2016-11-28 22:57;0;0;"The Last Final Fantasy http:// seekingalpha.com/article/402672 9-last-final-fantasy?source=tweet … $ DIS $ MSFT $ TTWO $ SQNXF $ NTDOY $ SNE";;;;"803372324560977920";https://twitter.com/psiqueland/status/803372324560977920
movies_ent;2016-11-28 22:50;0;0;"First American Bank Raises Position in The Walt #Disney Co. (). Read more: http:// owler.us/abTvTz $ DIS";;;#Disney;"803370499871035392";https://twitter.com/movies_ent/status/803370499871035392
ConsumerFeed;2016-11-28 22:31;0;0;"Woodstock Corp Boosts Stake in The Walt Disney Co. $ DIS http:// zpr.io/PRwCi";;;;"803365614173716480";https://twitter.com/ConsumerFeed/status/803365614173716480
WKRBNews;2016-11-28 22:29;0;0;"Woodstock Corp Boosts Stake in The Walt Disney Co. $ DIS http:// zpr.io/PRwCz";;;;"803365206361522177";https://twitter.com/WKRBNews/status/803365206361522177
